guestroom,hotwaterheating,parking,area,furnishingstatus,mainroad,airconditioning,bathrooms,price,basement,stories,prefarea,bedrooms
no,no,0,2145,furnished,yes,no,1,3233776,yes,2,yes,3
no,no,0,5985,semi-furnished,yes,no,1,4119918,yes,1,no,3
no,yes,1,7482,furnished,yes,no,2,7980140,no,3,yes,3
yes,no,2,6360,furnished,yes,yes,1,5848321,yes,1,yes,3
no,no,0,3520,furnished,yes,no,1,4481936,no,2,yes,2
no,yes,2,3630,semi-furnished,yes,no,2,4059550,no,2,no,3
yes,no,1,6000,furnished,yes,yes,2,7159625,no,4,no,3
no,no,2,8372,unfurnished,yes,yes,1,6007474,no,3,no,3
no,yes,2,5800,semi-furnished,yes,no,1,4220646,no,1,no,3
no,no,0,2953,unfurnished,yes,yes,1,4122274,yes,2,no,3
yes,no,0,3750,semi-furnished,yes,no,1,4381007,yes,1,no,2
no,no,0,3850,unfurnished,yes,no,1,3405210,no,1,no,3
yes,no,0,5136,unfurnished,yes,yes,1,5691452,yes,2,yes,3
no,no,2,4880,unfurnished,yes,no,1,4437698,no,1,yes,3
no,no,0,3792,semi-furnished,yes,no,1,3235268,no,2,no,4
yes,no,2,6000,unfurnished,yes,yes,1,8021178,no,4,no,3
no,no,1,2520,furnished,no,yes,2,3701541,yes,1,no,5
no,no,0,5948,semi-furnished,yes,yes,1,5011411,no,2,no,3
no,no,0,2145,furnished,yes,no,1,3491749,no,3,yes,3
no,no,1,10500,semi-furnished,yes,no,1,5624542,no,1,no,2
yes,no,1,3986,unfurnished,no,no,2,3211236,yes,1,no,2
no,no,1,5500,semi-furnished,yes,no,2,5600600,no,2,no,3
no,no,2,8250,furnished,yes,no,1,3794494,no,1,no,3
no,no,3,5400,semi-furnished,yes,no,1,3989569,no,1,no,3
no,no,0,7320,furnished,yes,no,2,5857192,no,2,no,4
no,no,0,2700,furnished,no,no,1,2963020,no,1,no,2
no,no,1,9000,furnished,yes,no,1,6305729,yes,1,yes,3
no,yes,0,4800,unfurnished,no,no,2,5555397,yes,3,no,5
no,no,1,4000,furnished,yes,no,1,4525782,no,2,no,3
no,no,3,3630,semi-furnished,yes,no,1,2954996,no,2,no,4
yes,no,1,6400,semi-furnished,yes,yes,1,6281740,yes,1,yes,3
no,no,0,1650,unfurnished,no,no,1,3097521,yes,2,no,3
no,no,1,4410,unfurnished,no,no,1,4176512,no,1,no,2
no,no,1,7350,semi-furnished,yes,no,1,3535636,no,1,no,2
no,no,1,6254,semi-furnished,yes,no,2,5906685,yes,1,yes,4
no,no,1,7980,semi-furnished,yes,no,1,5222656,no,1,yes,3
no,no,1,4120,semi-furnished,yes,no,1,4833679,yes,1,no,2
no,no,0,3520,semi-furnished,yes,no,1,4536930,no,1,yes,3
yes,no,0,2176,semi-furnished,yes,no,1,3870804,no,2,yes,2
no,no,2,8080,semi-furnished,yes,yes,1,3975736,no,1,no,3
no,no,1,3512,unfurnished,yes,no,1,3444437,no,1,yes,2
no,no,0,4000,unfurnished,yes,no,1,3485618,no,1,no,2
no,no,0,3450,semi-furnished,yes,no,1,3184921,yes,2,no,3
no,no,2,4320,furnished,yes,no,1,4067994,no,2,yes,3
no,no,2,15600,semi-furnished,yes,yes,1,5925672,no,1,no,3
no,no,0,7152,furnished,yes,yes,1,3799673,no,2,no,3
no,no,1,6321,furnished,yes,yes,1,4734813,yes,2,no,3
no,no,0,3000,semi-furnished,no,no,1,2439795,no,2,no,3
no,no,0,7000,unfurnished,yes,no,1,4861981,yes,2,no,3
no,no,2,11460,semi-furnished,yes,no,1,5875525,no,3,yes,3
no,no,0,4960,unfurnished,yes,no,1,2946333,no,1,no,2
no,no,0,3460,semi-furnished,yes,yes,1,4045635,no,2,no,4
no,no,0,3000,unfurnished,no,no,1,2177413,no,1,no,2
no,no,0,3630,unfurnished,yes,no,1,2916053,no,1,no,2
no,no,0,5400,unfurnished,yes,no,1,2844855,no,2,no,4
no,no,0,4900,unfurnished,no,no,1,3467857,no,2,no,3
yes,no,0,5500,semi-furnished,yes,no,1,3843857,yes,2,no,4
no,no,0,4000,semi-furnished,no,no,2,4137346,no,2,no,4
no,no,0,3640,furnished,yes,no,1,3371733,no,1,no,2
no,no,0,4500,furnished,no,no,1,3603568,no,1,no,2
no,no,0,4500,semi-furnished,no,no,1,3281853,no,1,no,2
no,no,0,4300,furnished,yes,no,2,6187554,no,2,no,6
no,no,2,3180,semi-furnished,yes,no,2,5139387,no,2,no,3
no,no,0,3150,semi-furnished,no,no,2,3795866,yes,1,no,2
no,no,2,4500,furnished,yes,no,2,3623903,yes,2,no,4
no,no,0,3520,semi-furnished,yes,no,2,3577565,yes,1,no,2
no,no,1,4040,semi-furnished,yes,no,1,4150034,no,2,no,2
no,no,2,4400,semi-furnished,yes,yes,1,5507026,no,2,yes,4
no,no,2,4095,semi-furnished,yes,no,1,3134409,no,1,no,2
yes,no,0,4160,unfurnished,yes,yes,1,4618617,yes,1,no,3
no,no,0,3600,unfurnished,yes,no,1,2623415,no,1,no,2
no,no,2,5830,unfurnished,yes,no,1,3803994,no,1,no,2
yes,no,1,6710,furnished,yes,no,2,5301666,yes,2,yes,3
no,no,2,4992,unfurnished,yes,no,2,4006943,no,2,no,3
no,no,2,5400,unfurnished,yes,yes,2,5744314,no,2,no,4
no,no,1,2800,semi-furnished,no,yes,2,5034723,yes,2,no,3
no,no,1,4040,semi-furnished,yes,no,1,4492555,no,2,no,3
no,no,0,3745,furnished,yes,no,1,4669320,yes,2,no,3
yes,no,2,8000,semi-furnished,yes,yes,1,6109448,yes,1,yes,3
yes,no,2,6540,furnished,yes,no,1,6023171,yes,1,yes,3
no,no,1,3640,semi-furnished,yes,no,1,3550178,no,1,no,2
no,no,2,10240,unfurnished,yes,yes,1,4715295,no,1,yes,2
no,no,0,3000,unfurnished,no,yes,1,3111095,no,1,no,3
no,no,0,4000,semi-furnished,yes,no,1,3633369,no,1,yes,2
no,no,0,3350,unfurnished,yes,no,1,3766231,no,2,no,3
no,no,0,6500,unfurnished,yes,yes,2,5964844,no,3,no,3
no,no,1,3360,unfurnished,yes,no,1,2137360,no,1,no,2
yes,no,0,6650,semi-furnished,yes,no,1,4156389,no,2,no,3
no,no,1,2650,unfurnished,yes,no,1,2775067,yes,2,no,3
no,no,0,2835,semi-furnished,yes,no,1,2976721,no,1,no,2
no,no,0,6420,unfurnished,yes,no,1,6187610,yes,3,yes,3
no,no,0,4750,unfurnished,yes,no,1,3398925,no,1,no,2
no,no,0,3600,furnished,yes,no,1,3611696,no,1,no,2
no,no,0,4800,unfurnished,yes,yes,1,5772262,no,3,no,3
no,no,0,3180,unfurnished,yes,no,1,2302129,no,1,no,2
no,no,1,6000,furnished,yes,yes,2,7487055,no,4,no,4
no,no,0,6540,semi-furnished,no,yes,2,5269088,no,2,no,4
no,no,1,8880,furnished,yes,yes,2,6941835,yes,2,no,3
no,no,0,4360,furnished,yes,no,1,4200652,no,2,no,4
no,no,0,8250,furnished,yes,yes,2,6464478,no,3,no,3
no,no,0,3640,furnished,yes,yes,1,4625505,no,2,no,3
no,no,0,11410,furnished,yes,no,1,5174840,no,2,yes,2
no,no,1,5880,unfurnished,yes,no,1,3332357,no,1,no,3
yes,no,0,3150,furnished,yes,yes,2,5509842,yes,1,no,3
no,no,1,6550,semi-furnished,yes,yes,2,9433802,no,2,yes,4
no,no,2,7000,furnished,yes,yes,2,8180626,no,4,no,3
no,yes,2,7950,unfurnished,yes,no,2,8431051,yes,2,no,5
no,no,0,5500,semi-furnished,yes,no,2,5287289,yes,1,no,3
no,no,1,10500,semi-furnished,yes,no,2,5599384,no,2,no,4
no,no,1,3069,unfurnished,yes,no,1,3201201,no,1,no,2
no,no,2,3850,unfurnished,yes,no,1,3504180,no,1,no,3
no,no,0,3420,semi-furnished,yes,no,2,4780025,no,2,no,4
no,no,2,4100,semi-furnished,yes,yes,2,6298436,no,3,no,3
no,no,1,6325,unfurnished,yes,yes,1,7501659,no,4,no,3
no,no,1,3840,semi-furnished,yes,no,1,4665780,no,2,yes,3
no,no,0,3750,unfurnished,yes,no,1,3359250,no,1,no,3
no,no,0,3600,semi-furnished,yes,no,1,3833901,no,1,no,2
yes,no,0,6060,furnished,yes,no,1,3305557,yes,1,no,3
yes,no,2,7085,semi-furnished,yes,no,1,5320346,yes,1,yes,3
no,no,0,3120,furnished,no,no,1,3260289,no,2,no,3
no,no,0,6360,furnished,yes,yes,2,7838487,no,4,yes,3
no,no,1,4000,unfurnished,yes,no,1,2713986,no,2,no,3
no,no,0,4370,unfurnished,yes,no,1,3282679,no,2,no,3
yes,no,0,5800,semi-furnished,yes,yes,1,4821888,yes,1,no,2
no,no,0,3990,semi-furnished,yes,no,1,3482083,no,2,no,3
yes,no,0,2175,unfurnished,no,yes,1,4248750,yes,2,no,3
no,no,0,3480,semi-furnished,yes,no,1,3810946,no,1,yes,2
no,no,1,5900,furnished,yes,no,1,3490059,no,1,no,2
no,no,2,4510,semi-furnished,yes,yes,1,4420773,no,2,no,4
no,no,0,4600,furnished,yes,no,1,3065772,no,1,no,2
yes,no,2,7420,furnished,yes,yes,1,11253007,yes,2,no,4
no,no,2,4000,furnished,yes,no,1,4558159,no,2,no,3
no,no,1,3600,furnished,yes,no,2,2613385,yes,2,no,2
no,no,0,6600,unfurnished,yes,yes,2,6113232,yes,1,yes,3
no,no,0,5170,semi-furnished,yes,yes,1,4778737,no,4,no,3
no,no,0,4400,unfurnished,yes,no,1,2636599,no,1,no,2
no,no,0,4995,semi-furnished,yes,no,2,4839034,yes,1,no,4
no,no,0,3660,unfurnished,no,no,1,2942716,no,2,no,4
no,no,1,10269,semi-furnished,yes,no,1,5148483,no,1,yes,3
no,no,0,6600,unfurnished,yes,yes,2,6173539,no,3,yes,3
no,no,0,2747,semi-furnished,no,no,2,4254197,no,2,no,4
no,no,0,4160,unfurnished,yes,no,1,4779237,no,3,no,3
no,no,1,8880,semi-furnished,yes,yes,1,7005338,no,1,no,2
no,no,1,5320,unfurnished,yes,no,1,3449643,no,1,yes,2
no,no,3,6600,furnished,yes,yes,1,7496012,no,4,yes,3
no,no,1,4880,furnished,yes,yes,2,8150684,no,2,yes,4
no,no,1,4920,semi-furnished,yes,no,1,4438661,no,2,no,3
no,no,1,6480,semi-furnished,no,yes,1,4007831,no,2,no,3
no,no,0,4520,semi-furnished,yes,yes,1,4927838,yes,2,no,3
no,no,0,2910,unfurnished,no,no,1,2646802,no,1,no,2
no,no,1,8875,semi-furnished,yes,no,1,8404783,no,1,no,3
no,no,1,3300,semi-furnished,no,no,1,2879256,no,2,no,3
no,no,0,5400,semi-furnished,yes,no,1,4745307,no,2,yes,2
no,no,1,3162,furnished,yes,yes,1,4493577,no,2,no,3
no,yes,0,2275,semi-furnished,yes,yes,1,3685787,no,3,yes,3
no,no,0,5040,unfurnished,yes,yes,1,4164139,yes,2,no,3
no,no,2,3500,unfurnished,yes,yes,1,3383186,no,2,no,4
yes,no,0,6600,semi-furnished,yes,no,2,5489163,yes,2,yes,4
no,no,0,3036,semi-furnished,yes,no,1,3487766,yes,2,no,3
no,no,0,3150,unfurnished,no,no,1,2934654,no,2,no,3
no,no,0,5000,semi-furnished,yes,yes,1,5708689,no,3,no,3
no,no,1,6240,furnished,yes,yes,2,7162967,no,2,no,4
no,no,0,6000,unfurnished,yes,yes,2,5734160,no,4,no,3
yes,no,1,5500,furnished,yes,yes,1,5757173,no,3,no,3
no,no,0,3970,unfurnished,no,no,1,2234630,no,1,no,1
yes,no,2,8100,furnished,yes,yes,1,9909920,yes,2,yes,4
no,no,0,4100,unfurnished,no,no,1,3998675,yes,1,no,4
no,no,0,3850,semi-furnished,yes,no,1,3834370,no,1,no,2
no,no,1,11175,furnished,yes,yes,1,6938662,yes,1,yes,3
no,no,0,4079,semi-furnished,yes,no,1,4124683,no,3,no,3
no,no,0,7800,semi-furnished,yes,no,2,9122403,no,2,yes,3
yes,no,0,6900,semi-furnished,yes,no,1,5561028,yes,1,yes,3
no,no,0,6550,furnished,yes,yes,1,7755942,yes,2,yes,3
no,no,2,3520,unfurnished,yes,no,1,3601299,no,1,yes,3
no,no,0,6100,semi-furnished,yes,yes,1,5121283,yes,1,yes,3
no,no,0,3000,unfurnished,yes,no,1,2122595,no,2,no,4
no,no,2,6040,semi-furnished,yes,no,1,4796267,no,1,yes,3
no,no,2,3185,unfurnished,yes,no,1,3373925,no,1,no,2
no,no,0,6360,furnished,yes,no,1,4320521,no,1,no,2
no,no,0,6800,unfurnished,yes,no,1,2726036,no,1,no,2
no,yes,1,4350,unfurnished,no,no,1,2829971,no,2,no,3
no,no,0,2145,unfurnished,yes,no,2,3951934,yes,1,yes,4
yes,no,0,2870,semi-furnished,yes,no,1,4579487,yes,2,yes,2
no,no,0,3000,semi-furnished,yes,yes,1,4932046,yes,2,no,3
no,no,2,3420,semi-furnished,yes,yes,2,4922742,yes,2,no,4
no,no,0,2325,semi-furnished,no,no,1,4203737,no,2,no,3
no,no,0,4400,unfurnished,yes,no,1,2521387,no,2,no,3
no,no,1,3450,semi-furnished,yes,no,1,4494249,yes,2,no,3
no,no,0,3420,unfurnished,no,no,1,1987412,no,2,no,5
no,no,0,5495,unfurnished,yes,no,1,3128077,yes,1,no,3
no,no,0,3620,unfurnished,yes,no,1,1731005,no,1,no,2
no,no,0,4500,furnished,yes,no,1,4223088,yes,1,no,3
no,yes,1,3420,semi-furnished,yes,no,1,3780474,no,2,no,2
no,no,0,3900,unfurnished,yes,no,1,4338879,no,2,no,3
no,no,0,3450,furnished,yes,no,1,3206353,no,1,no,1
yes,no,0,4095,semi-furnished,no,yes,1,4818491,yes,2,no,3
yes,no,0,6100,semi-furnished,yes,yes,1,5488896,no,3,yes,3
no,no,2,6000,semi-furnished,yes,no,2,7826071,no,4,no,4
no,no,2,6862,furnished,yes,yes,1,4877622,no,2,yes,3
no,no,3,9500,unfurnished,yes,no,1,3556357,no,2,yes,3
no,no,2,7600,furnished,yes,yes,1,4957970,no,2,no,4
no,no,0,4632,semi-furnished,yes,yes,1,4092141,no,2,no,4
no,no,1,6360,furnished,yes,yes,1,4400927,yes,1,no,2
no,no,0,4500,unfurnished,yes,yes,1,6098226,no,4,no,3
no,no,2,5150,semi-furnished,yes,yes,2,7466079,no,4,no,3
no,no,0,4600,semi-furnished,yes,no,1,3542957,no,2,no,4
no,no,3,8960,furnished,yes,yes,4,12470850,no,4,no,4
no,no,0,2430,unfurnished,no,no,1,2663841,no,1,no,3
no,no,1,3600,unfurnished,yes,no,1,3721200,no,1,no,3
yes,no,0,7440,semi-furnished,yes,yes,2,7326465,yes,1,yes,3
no,no,0,4960,semi-furnished,no,no,1,3393919,no,3,no,4
no,yes,1,6000,semi-furnished,yes,no,1,6725281,no,2,yes,3
no,no,2,6300,semi-furnished,yes,yes,1,4803803,no,1,no,3
yes,no,1,6840,furnished,yes,yes,1,8271237,yes,2,no,5
no,no,0,2500,unfurnished,no,yes,1,3243018,no,1,no,2
no,no,0,3968,semi-furnished,no,no,1,4413233,no,2,no,3
no,no,0,2145,furnished,yes,no,1,3383673,yes,2,yes,3
no,no,0,4500,unfurnished,yes,yes,1,3094120,no,2,no,3
no,no,1,4320,unfurnished,no,no,1,3203339,no,1,no,3
no,no,0,3630,furnished,yes,no,1,3742795,yes,1,no,2
yes,no,2,6750,furnished,yes,no,1,6473753,yes,1,yes,2
no,no,0,3180,furnished,yes,no,2,3822503,no,2,no,4
no,no,0,3640,unfurnished,yes,no,1,2342063,no,1,no,2
yes,no,1,6000,furnished,yes,yes,2,7479213,no,4,no,4
no,no,0,2015,semi-furnished,yes,no,1,3867841,yes,2,yes,3
no,no,0,4900,semi-furnished,yes,no,1,4476569,yes,2,no,2
no,no,2,3760,semi-furnished,yes,no,1,4632615,no,1,no,3
no,yes,2,3500,furnished,yes,no,2,9133681,no,2,no,4
no,no,0,5600,semi-furnished,yes,yes,1,4127101,no,1,no,2
yes,no,2,7410,unfurnished,yes,yes,1,6575288,yes,1,yes,3
no,no,0,4240,semi-furnished,yes,yes,1,3454842,no,2,no,3
no,no,2,3500,furnished,yes,no,1,4411739,no,2,no,4
no,no,2,7800,unfurnished,yes,yes,1,5281862,yes,1,yes,3
no,no,0,4500,semi-furnished,no,yes,2,3977168,yes,2,no,3
no,no,1,2990,unfurnished,no,no,1,1827484,no,1,no,2
no,no,2,7000,semi-furnished,yes,no,1,5905808,yes,1,yes,3
no,no,1,4840,semi-furnished,yes,no,1,4167716,no,2,no,3
no,no,0,3040,unfurnished,no,no,1,2879679,no,1,no,2
no,yes,0,1950,unfurnished,no,no,1,2268036,no,1,no,3
no,no,0,3185,unfurnished,yes,yes,1,2672604,no,1,no,2
no,no,2,3000,semi-furnished,yes,yes,1,4019439,yes,3,no,4
no,no,0,2550,furnished,yes,no,1,4526369,yes,2,no,3
yes,no,0,3540,semi-furnished,no,no,1,4987957,yes,1,no,2
no,no,0,3000,semi-furnished,yes,no,1,3019387,no,2,no,2
no,no,0,2880,unfurnished,no,no,1,2531432,no,1,no,3
yes,no,1,7680,semi-furnished,yes,yes,2,7078844,no,4,no,4
no,no,1,4352,unfurnished,no,no,1,2978296,no,2,no,4
no,no,0,9860,semi-furnished,yes,no,1,4578415,no,1,no,3
yes,no,2,7155,unfurnished,yes,yes,2,8554832,yes,1,no,3
no,no,0,3680,semi-furnished,yes,no,2,4170782,no,2,no,3
no,no,0,3500,unfurnished,yes,no,1,3067505,no,1,no,2
yes,no,0,6210,furnished,yes,yes,1,5431124,no,4,no,4
no,no,1,4400,semi-furnished,yes,no,1,4356366,no,1,no,2
yes,no,0,10700,semi-furnished,yes,no,1,5120079,yes,2,no,3
no,no,0,3640,unfurnished,yes,no,1,3613337,no,1,no,2
no,no,0,1950,unfurnished,yes,no,2,3440076,yes,2,yes,3
no,no,1,2640,furnished,no,no,1,2848623,no,1,no,2
no,no,0,4080,semi-furnished,yes,no,1,3839813,no,1,no,2
no,no,1,4046,semi-furnished,yes,no,1,4214178,yes,2,no,3
yes,no,0,4800,unfurnished,yes,no,1,5846621,yes,1,no,3
yes,no,0,6000,unfurnished,yes,no,1,6166738,yes,3,yes,4
no,no,0,3180,semi-furnished,no,no,1,3580951,yes,2,no,3
no,no,2,3960,semi-furnished,yes,no,1,6510627,yes,1,no,3
no,no,0,3850,unfurnished,yes,no,1,3059715,no,2,no,3
yes,no,0,4050,unfurnished,yes,no,1,3967013,yes,2,yes,2
no,no,0,4350,unfurnished,yes,no,1,4906290,yes,1,no,2
no,no,0,3090,semi-furnished,no,no,1,2984200,no,2,no,3
yes,no,0,7231,semi-furnished,yes,yes,1,6044270,yes,2,yes,3
no,yes,2,4320,semi-furnished,yes,no,1,8789149,yes,2,no,3
no,no,0,6000,unfurnished,yes,yes,2,6673593,no,4,no,4
no,no,0,5450,semi-furnished,yes,yes,2,6137918,yes,1,yes,4
no,yes,1,4500,furnished,yes,no,2,4393705,no,3,no,3
no,no,0,4040,unfurnished,yes,no,1,3316448,no,1,no,2
yes,no,1,5500,semi-furnished,yes,yes,2,6148997,no,4,no,3
